,color,next_play,balance,bet_amount
2408,red,red,186100,20
2409,black,black,186080,40
2410,red,red,186040,80
2411,red,red,186120,10
2412,red,red,186130,10
2413,red,red,186140,10
2414,green,none,186130,20
2415,black,black,186130,20
2416,black,black,186150,10
2417,red,red,186140,20
2418,red,red,186160,10
2419,red,red,186170,10
2420,black,black,186160,20
2421,red,red,186140,40
2422,red,red,186180,10
2423,green,none,186170,20
2424,red,red,186170,20
2425,red,red,186190,10
2426,red,red,186200,10
2427,black,black,186190,20
2428,red,red,186170,40
2429,red,red,186210,10
2430,red,red,186220,10
2431,black,black,186210,20
2432,red,red,186190,40
2433,black,black,186150,80
2434,red,red,186070,160
2435,red,red,186230,10
2436,red,red,186240,10
2437,black,black,186230,20
2438,black,black,186250,10
2439,green,none,186240,20
2440,black,black,186240,20
2441,red,red,186220,40
2442,black,black,186180,80
2443,red,red,186100,160
2444,red,red,186260,10
2445,red,red,186270,10
2446,black,black,186260,20
2447,red,red,186240,40
2448,black,black,186200,80
2449,red,red,186120,160
2450,red,red,186280,10
2451,black,black,186270,20
2452,red,red,186250,40
2453,black,black,186210,80
2454,red,red,186130,160
2455,red,red,186290,10
2456,red,red,186300,10
2457,black,black,186290,20
2458,red,red,186270,40
2459,black,black,186230,80
2460,red,red,186150,160
2461,black,black,185990,320
2462,red,red,185670,640
2463,black,black,185030,1280
2464,red,red,183750,2560
2465,black,black,181190,5120
2466,red,red,176070,10240
2467,red,red,186310,10
2468,black,black,186300,20
2469,red,red,186280,40
2470,black,black,186240,80
2471,red,red,186160,160
2472,red,red,186320,10
2473,black,black,186310,20
2474,black,black,186330,10
2475,black,black,186340,10
2476,black,black,186350,10
2477,red,red,186340,20
2478,red,red,186360,10
2479,red,red,186370,10
2480,red,red,186380,10
2481,black,black,186370,20
2482,black,black,186390,10
2483,black,black,186400,10
2484,red,red,186390,20
2485,red,red,186410,10
2486,red,red,186420,10
2487,black,black,186410,20
2488,red,red,186390,40
2489,red,red,186430,10
2490,black,black,186420,20
2491,red,red,186400,40
2492,green,none,186360,80
2493,red,red,186360,80
2494,black,black,186280,160
2495,red,red,186120,320
